##########################################################################
# DISTANCE KEY
##########################################################################

# Key to map from target name to distance in Mpc

# N.B. this file is automatically produced in some cases and this
# documentation would be overwritten.

# When the user requests to convolve to specific physical resolutions
# as part of derived product creation a physical distance is
# needed. This file provides that distance.

# Column 1: target name
# Column 2: working directory name

##########################################################################

# %ECSV 0.9
# ---
# datatype:
# - {name: target, datatype: string}
# - {name: dist, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
target,dist
A439,0.05
GMC225,0.05
N166,0.05
30Dor,0.05
N160,0.05
N159E,0.05
N159W,0.05
N159S,0.05
N171,0.05
N59C,0.05
N55,0.05
N206,0.05
M206D,0.05
N44C,0.05
N127,0.05
GMC104,0.05
N113,0.05
N79,0.05
GMC1,0.05
N69,0.06
N42,0.06
N66,0.06
