name	line	PID	field	robust	moswt	type	bmaj	bmin	vis	spw	thresh	velwid	viswid	TP	origMS	origspw	TODO	
A439	12CO10	2016.1.00193	A439	1.5	T	12p7	2.4	1.9	["2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/TM_X3fd/uid___A002_Xbc6682_Xf0b_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/TM_X3fd/uid___A002_Xbc5a0f_X1647_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb9dfa4_Xa6d7_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb925ef_X3970_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb99071_X1ddc_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb95160_X3357_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb9dfa4_X9dd5_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb99071_X15d3_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb95160_X3dcb_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb9356a_X45e2_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3fb_A439_12CO10/7M_X3ff/uid___A002_Xb9cc97_X7832_targets_line.ms"]	["25","25","16","16","16","16","16","16","16","16","16"]	0.025	0.2	0.08	x	noisy magma		deeper clean helped	
A439	13CO10	2016.1.00193	A439	1.5	T	12	3.1	2.6	["2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X1565_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X4251_targets_line.ms"]	["27","27"]	0.01	0.2	0.08	x				
A439	CS21	2016.1.00193	A439	1.5	T	12	3.5	2.9	["2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X1565_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X4251_targets_line.ms"]	["31","31"]	0.01	0.2	0.08	x				
A439	C18O10	2016.1.00193	A439	1.5	T	12	3.1	2.6	["2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X1565_targets_line.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X4251_targets_line.ms"]	['25','25']	0.01	0.2	0.08	x				
A439	cont3mm	2016.1.00193	A439	1.5	T	12	3.1	2.6	["2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X1565_targets.ms","2016.1.00193.wong/B3_uid___A001_X87a_X3eb_A439_13CO10/TM_X3ed/uid___A002_Xbcb16f_X4251_targets.ms"]	['29:107.9GHz~109.68GHz','29:107.9GHz~109.68GHz']	0.001	0.2	0.08	x				
N59C	12CO10	2016.1.00193	N59C	1.5	T	12p7	2.6	2.1	['2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/TM_X403/uid___A002_Xbc74ea_X114f_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/TM_X403/uid___A002_Xbc74ea_X14aa_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/TM_X403/uid___A002_Xbc7c73_Xeb3_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/TM_X403/uid___A002_Xbc8613_X97f_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba1cd8_X1362_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba2b1d_X305f_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba38f9_X2832_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba460f_X1a0a_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba460f_X28e3_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba460f_Xca6_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba6edb_X1b2a_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba839d_X2ec7_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xba9cdb_X2fd9_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbaa732_X287b_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbaca56_X2745_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbaca56_X3190_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbaca56_X3c3a_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbad2b0_X3307_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X401_N59C_12CO10/7M_X405/uid___A002_Xbadc30_X1c2e_targets_line.ms/']	['25','25','25','25','16','16','16','16','16','16','16','16','16','16','16','16','16','16','16']	0.02	0.2	0.08	x	noisy magma			
N59C	13CO10	2016.1.00193	N59C	1.5	T	12	2.6	2.5	['2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc7c73_X10f4_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc9c9e_X1005_targets_line.ms/']	['27','27']	0.02	0.2	0.08	x				
N59C	CS21	2016.1.00193	N59C	1.5	T	12	2.9	2.8	['2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc7c73_X10f4_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc9c9e_X1005_targets_line.ms/']	["31","31"]	0.02	0.2	0.08	x				
N59C	C18O10	2016.1.00193	N59C	1.5	T	12	2.6	2.5	['2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc7c73_X10f4_targets_line.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc9c9e_X1005_targets_line.ms/']	['25','25']	0.02	0.2	0.08	x				
N59C	cont3mm	2016.1.00193	N59C	1.5	T	12	2.6	2.5	['2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc7c73_X10f4_targets.ms/','2016.1.00193.wong/B3_uid___A001_X87a_X3df_N59C_13CO10/TM_X3e1/uid___A002_Xbc9c9e_X1005_targets.ms/']	['29:107.9GHz~109.68GHz','29:107.9GHz~109.68GHz']	0.001	0.2	0.08	x				
