cloud,radec,dra,ddec,programs,dv,vmin,vmax,origvmin,origvmax,magma island,13CO10,,,C18O10,,,CS21,,,CH3OH 96.75,CH3OH 101.1,SO3221 99.3,,,SO2 100.9,H40a 99.0,,,HCOp10,,,HCN10,,,12CO10,,,`,cont3mm,,12CO21,,,13CO21,,,C18O21,,,H30a,,,cont1mm,,additional,,3mm_SN ,,SD
-,str,arcsec,arcsec,-,km/s,km/s,km/s,km/s,km/s,id,7p12fT,7p12,12m,7p12fT,7p12,12m,7p12fT,7p12,12m,,,7p12fT,7p12,12m,,7p12fT,7p12,12m,7p12fT,12p7,12m,7p12fT,12p7,12m,7p12fT,7p12,12m,IF recovery,7p12,12,7p12fT,7p12,12m,7p12fT,7p12,12m,7p12fT,7p12,12m,7p12fT,7p12,12m,12p7,12,,,in PL 12m,https://virginia.box.com/s/exy8w8t03w4s2gp8xykpyc7a50vagwrc,
A439,ICRS 05:47:25.9 -69.52.44,240,300,2016.1.00193,0.2,209,240,209,309,439,x,x,14,x,x,13,x,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,16,-,80,x,0.2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,HC3N 12-11 109.2,,1,,
GMC225,ICRS 05:47:14.6 -70.40.54,320,300,"2012.1.00603,2012.1.00641,2016.1.00203",0.2,199,240,,290,440,36,37,-,26,-,-,24,-,-,x,(),8,-,-,(),7,-,-,x,x,x,x,x,x,70,-,-,,0.23,-,80,-,-,60,-,-,50,-,-,12,-,-,0.4,-,,,1,,
N166,ICRS 05:44:29.1 -69.25.27,288,288,"2012.1.00603,2012.1.00641,2016.1.00203",0.2,214,240,,260,427,33,33,-,35,-,-,23,-,-,x,(),7,-,-,(),7,-,-,x,x,x,x,x,x,8,-,-,,0.1,-,7,-,-,60,-,-,45,-,-,15,-,-,0.6,-,,,1,"CS21: robust=0.7, perchanwt=F;  CO21: r=0.5, moswt=F",
30Dor,ICRS 05:38:46.9 -69.04.36 ,165,165,2011.1.00473,0.75,220,286,,,331,x, ,-,x, ,- ,x,4,,,,x,4,,,x,4,,x,4,,x,4,,x,x,x,,3,,48,,,47,,,20,,,x,10,,1,,,,,,
N160,ICRS 05:39:46.6 -69.38.20,288,240,2017.1.00093,0.2,204,291,,,350,x,23,-,x,25,-,x,18,-,x,x,x,4.3,-,x,x,4,-,x,x,x,x,x,x,90,-,-,,0.2,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,H99
N159E,ICRS 05:40:10.0 -69.44.38.5,200,216,2012.1.00554,0.2,206,274,,,356,43,-,-,43,-,-,29,-,-,x,x,5.5,-,-,x,8,-,-,x,x,x,x,x,x,90,-,-,,0.5,-,x,95,-,x,90,-,x,72,-,x,25,-,0.4,-,CH3OH 99.6,,180,,
N159W,ICRS 05:39:35.1 -69.45.38,200,216,2012.1.00554,0.2,209,274,,,356,47,-,-,45,-,-,31,-,-,x,x,7,-,-,x,8,-,-,x,x,x,x,x,x,80,-,-,,0.5,-,x,70,-,x,60,-,x,45,-,x,16,-,0.3,-,,,73,,H99
N159S,ICRS 05:40:03.0 -69.50.57,330,320,2016.1.00782,0.4,204,286,,,356,x,14,-,x,10,-,x,6,-,(),x,x,x,x,x,x,x,x,x,x,x,x,x,x,85,-,-,,0.8,-,35,-,-,35,-,-,x,25,-,x,x,x,0.4,-,,,32,,H99
N171,ICRS 05:39:49.0 -70.07.10,225,225,2012.1.00603+ 2015.1.00196+ 2016.1.00063,0.4,209,260,209,286,338,10,-,-,9,-,-,6,-,-,(),(),x,x,x,(),x,x,x,x,x,x,x,x,x,71,-,-,,0.6,-,40,-,-,38,-,-,50,-,-,10,-,-,0.4,-,,,1,,
N59C,ICRS 05:35:18.1 -67.36.18,250,350,2016.1.00193,0.2,257,303,,,289,x,x,19,x,x,20,x,x,13,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,20,-,,x,0.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,12,,
N55,ICRS 05:32:16.5 -66.26.16,540,500,2012.1.00335+ 2013.1.00993+ 2013.1.00214,0.2,271,298,,,280,x,23,,x,25,,x,18,,x,x,x,3.1,,x,x,3.2,,x,x,x,x,x,x,x,x,90,,0.12,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,CH3OH 99.6,,13,"CS21: robust=0.5, moswt=F",
N55P,ICRS 05:32:31.0 -66.26.23,240,256,2012.1.00335+ 2013.1.00993+ 2013.1.00214,0.2,271,298,,,280,x,x,11,x,x,TDM,x,x,9,,,x,x,TDM,,x,x,TDM,x,x,8,x,x,8,x,x,x,,,,x,x,80,x,x,85,x,x,60,x,x,TDM,1,-,CCH 1-0,,13,"CS21: robust=0.5, moswt=F",
N206,ICRS 5:30:56.5 -71.07.25,250,300,2012.1.00603+2016.1.00203,0.2,210,245,204->210,255->245,268,25,-,-,25,-,-,17,-,-,(),(),5,-,-,(),4,-,-,x,x,x,x,x,x,x,x,x,,0.15,-,120,-,-,90,-,-,65,-,-,18,-,-,0.1,-,,,1,,
N206D,ICRS 5:32:12 -71.13.57,250,250,2012.1.00603,0.2,204,255,,,276,26,-,-,27,-,-,17,-,-,x,(),5,-,-,(),5,-,-,x,x,x,x,x,x,x,x,x,,0.15,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,26,,
N44C,ICRS 5:22:11 -67.58.24,125,125,2016.1.00380,0.4,267,297,230,300,193,x,6,-,x,5,-,x,4,-,(),x,x,4,-,x,x,x,x,x,4,-,x,x,4,x,x,x,,0.5,-,40,-,-,40,-,-,40,-,-,x,x,x,1.2,-,HNC 1-0,,800,,
N127,ICRS 5:22:14.1 -69.41.57,225,200,"2015.1.00196, 2016.1.00063, 2017.1.00093",0.4,225,260,,276,191,8,,,8,,,6,,,(),x,5,,,(),5,,,x,x,x,x,x,x,45,,,,0.2,,40,,,39,,,28,,,,,,1,,,,1,,
GMC104,ICRS 5:21:04 -70.13.28,250,270,2016.1.00193,0.2,210,240,214,260,179,x,x,13,x,x,12,x,x,10,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,90,-,,x,0.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,1,"CS21: robust=0.5, moswt=F",
N113,ICRS 5:13:21 -69.22.21,225,225,2015.1.01388,0.25,210,260,,,135,x,x,12,x,x,12,x,x,11,yes,x,x,x,2,x,x,x,2,8,x,-,8,x,-,50,-,-,>95,x,0.3,75,,,75,,,45,,,x,x,14,0.6,-,"12CO21 outflow, CH3OH 99.6",,400,,
N79,ICRS 4:51:53 -69.23.29,100,100,2017.1.00093,0.2,180,270,,,27,x,25,-,x,23,-,x,20,-,x,x,x,5,-,x,x,0.5,-,x,x,x,x,x,x,x,x,x,,0.6,-,x,x,28,-,-,28,x,x,21,TDM,x,x,x,15,,,28,huge blue outflow in 12CO - go down to <HI vel,
GMC1,ICRS 4:47:29 -69.10.30,400,360,2016.1.00193,0.2,220,260,,,6,x,x,16,x,x,15,x,x,10,x,(),x,x,x,(),x,x,x,x,x,x,x,x,x,x,25,,,x,0.1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,1,,
N69,ICRS 0:58:27 -72.28.02,160,160,"2015.1.00196.S, 2016.1.00063.S",0.4,105,135,,,,12,-,-,11,-,-,8,-,-,(),,x,x,x,(),x,x,x,x,x,x,x,x,x,48,-,-,,0.7,-,28,-,-,28,-,-,20,-,-,x,x,x,0.4,x,,,,,
N42,ICRS 0:46:41 -73.05.58,160,160,"2015.1.00196.S, 2016.1.00063.S",0.4,110,150,,,,13,-,-,11,-,-,8,-,-,(),,x,x,x,(),x,x,x,x,x,x,x,x,x,42,-,-,,0.9,-,29,-,-,28,-,-,23,-,-,x,x,x,0.3,x,,,,go to higher vel to get 12CO outflow,
N66,ICRS 0:59:05.7 -72.10.12,300,300,"2015.1.00196.S, 2016.1.00063.S, 2015.1.01296",0.4,130,180,,,,10,-,-,10,-,-,7,-,-,maybe,(),x,x,x,(),x,x,x,x,x,,x,x,,20,,,,0.8,-,30,-,-,35,-,-,21,-,-,TDM,x,x,0.4,x,,,,,
N78,ICRS 1:05:16 -71.59.05,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N76,ICRS 1:03:13 -72:02:37,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N113b,ICRS 5:13:21 -69.22.21,225,225,"2015.1.01388.S,2015.1.00196.S",0.4,220,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N44C_3mm,ICRS 5:22:12 -67.58.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,detection,x= data doesn't exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nondetection,- = remy didn't make the image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,poor clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,in progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
