SOURCE              PID                 FIELD                         ARR    OBS MSKEY                                                                                                                   
--------------------------------------------------------------------------------- ------------------------------------------------------------------------------------------------------------------------
GMC225              2016.1.00203        LMC_GMC225                     7m       1 lmc/GMC225/uid___A002_Xb93c37_X35f5_targets_line.ms                                                                     
GMC225              2016.1.00203        LMC_GMC225                     7m       2 lmc/GMC225/uid___A002_Xbf4033_X27d_targets_line.ms                                                                      
N166                2013.1.01091        LMC_N166                       7m       1 v1/lmc/N166/N166_B6_line.ms                                                                                             
N159E               2012.1.00554        N159E                          12m      1 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/TM_X3b5/uid___A002_X74deb6_X14df_targets_line.ms/              
N159E               2012.1.00554        N159E                          12m      2 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/TM_X3b5/uid___A002_X7c18c1_X4c7_targets_line.ms/               
N159E               2012.1.00554        N159E                          7m       3 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/7M_X3b7/uid___A002_X6f2c6e_X3af3_targets_line.ms               
N159E               2012.1.00554        N159E                          7m       4 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/7M_X3b7/uid___A002_X6f6a58_X88b_targets_line.ms                
N159E               2012.1.00554        N159E                          7m       5 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/7M_X3b7/uid___A002_X71a45c_Xe44_targets_line.ms                
N159E               2012.1.00554        N159E                          7m       6 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3b3_N159E_CO21/7M_X3b7/uid___A002_X7c18c1_X2be_targets_line.ms                
N159W               2012.1.00554        N159W                          12m      1 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3a7_N159W_CO21/TM_X3a9/uid___A002_X74a173_X23b7_targets_line.ms               
N159W               2012.1.00554        N159W                          12m      2 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3a7_N159W_CO21/TM_X3a9/uid___A002_X7b492c_X4a0_targets_line.ms                
N159W               2012.1.00554        N159W                          7m       3 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3a7_N159W_CO21/7M_X3ab/uid___A002_X6f2c6e_X3529_targets_line.ms               
N159W               2012.1.00554        N159W                          7m       4 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3a7_N159W_CO21/7M_X3ab/uid___A002_X6f4daf_X112c_targets_line.ms               
N159W               2012.1.00554        N159W                          7m       5 2012.1.00554.fukui/B6_uid___A002_X5d7935_X3a7_N159W_CO21/7M_X3ab/uid___A002_X6f6a58_X6ff_targets_line.ms                
N159S               2016.1.00782        N159S                          12m      1 2016.1.00782.chen/B6_uid___A001_X87c_X81f_N159S-2_CO21/TM_X821/uid___A002_Xbe9cf2_X220_targets_line.ms/                 
N159S               2016.1.00782        N159S                          12m      2 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/TM_Xc24/uid___A002_Xbe9cf2_X50e_targets_line.ms/                 
N159S               2016.1.00782        N159S                          7m       3 2016.1.00782.chen/B6_uid___A001_X87c_X81f_N159S-2_CO21/7M_X823/uid___A002_Xbb85b6_X219b_targets_line.ms/                
N159S               2016.1.00782        N159S                          7m       4 2016.1.00782.chen/B6_uid___A001_X87c_X81f_N159S-2_CO21/7M_X823/uid___A002_Xbb85b6_X737c_targets_line.ms/                
N159S               2016.1.00782        N159S                          7m       5 2016.1.00782.chen/B6_uid___A001_X87c_X81f_N159S-2_CO21/7M_X823/uid___A002_Xbb85b6_X8488_targets_line.ms/                
N159S               2016.1.00782        N159S                          7m       6 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb154b_X2244_line.ms/                        
N159S               2016.1.00782        N159S                          7m       7 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb54fa_X101a_line.ms/                        
N159S               2016.1.00782        N159S                          7m       8 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb5cfb_X1671_line.ms/                        
N159S               2016.1.00782        N159S                          7m       9 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_X1e8e_line.ms/                        
N159S               2016.1.00782        N159S                          7m      10 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_X2dd7_line.ms/                        
N159S               2016.1.00782        N159S                          7m      11 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_X3a76_line.ms/                        
N159S               2016.1.00782        N159S                          7m      12 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_X9c67_line.ms/                        
N159S               2016.1.00782        N159S                          7m      13 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_Xa9f9_line.ms/                        
N159S               2016.1.00782        N159S                          7m      14 2016.1.00782.chen/B6_uid___A001_X87d_Xc22_N159S-1_CO21/7M_Xc26/uid___A002_Xbb7114_Xb2e8_line.ms/                        
N55P                2013.1.00993        N55-PDR                        12m      1 2013.1.00993.neelamkodan/B6_uid___A002_X996c88_X39_N55_CO21/TM_X3a/uid___A002_X9d9aa5_Xe7c_targets_line.ms/             
N206                2012.1.00603        N206                           12m      1 2016.1.00203.kawamura/B6_uid___A001_X87c_X8c7_N206_CO21/TM_X8c9/uid___A002_Xbf894a_X5df7_targets_line.ms                
N206                2012.1.00603        N206                           7m       2 2016.1.00203.kawamura/B6_uid___A001_X87c_X8c7_N206_CO21/7M_X8cb/uid___A002_Xbb0685_X18ef_targets_line.ms                
N206                2012.1.00603        N206                           7m       3 2016.1.00203.kawamura/B6_uid___A001_X87c_X8c7_N206_CO21/7M_X8cb/uid___A002_Xbb30f0_X842f_targets_line.ms                
N44C                2016.1.00596        LHA_120-N_44                   12m      1 2016.1.00596.chevance/B6_uid___A001_X87d_X36c_N44_CO21/TM_X36e/uid___A002_Xbb2021_X717c_targets_line.ms/                
N44C                2016.1.00596        LHA_120-N_44                   7m       2 2016.1.00596.chevance/B6_uid___A001_X87d_X36c_N44_CO21/7M_X370/uid___A002_Xb9b1b9_X19a2_targets_line.ms/                
N44C                2016.1.00596        LHA_120-N_44                   7m       3 2016.1.00596.chevance/B6_uid___A001_X87d_X36c_N44_CO21/7M_X370/uid___A002_Xbd3836_X431a_targets_line.ms/                
N79                 2015.1.01155        J72.971176-69.391112           7m       1 2013.1.01155.meixner/B6_uid___A001_X13f_X176_CO21/TC_X17a/uid___A002_X9a9a13_Xd15_targets_line.ms/                      
N171                2016.1.00203        N171                           12m      1 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/TM_X8bf/uid___A002_Xbf4033_X9d8_targets_line.ms/                
N171                2016.1.00203        N171                           7m       2 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/7M_X8c1/uid___A002_Xb9c01c_X3517_targets_line.ms/               
N171                2016.1.00203        N171                           7m       3 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/7M_X8c1/uid___A002_Xb9dfa4_X34e7_targets_line.ms/               
N171                2016.1.00203        LMC0NT197                      12m      4 2017.1.00681.duval/B3_uid___A001_X12a3_X82c_multi_CO21/TM_X82e/uid___A002_Xce574d_X363c_targets_line.ms/                
N171                2016.1.00203        LMC0NT197                      12m      5 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_multi_CO21/TM_Xe1/uid___A002_Xb5f503_X3754_targets_line.ms/                   
N171                2016.1.00203        LMC0NT197                      12m      6 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_multi_CO21/TM_Xe1/uid___A002_Xb62a5b_X5a8b_targets_line.ms/                   
N171                2016.1.00203        LMC0NT197                      12m      7 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_multi_CO21/TM_Xe1/uid___A002_Xb638bc_X4565_targets_line.ms/                   
N171                2016.1.00203        LMC0NT197                      7m       8 2016.1.00063.duval/B6_uid___A001_X879_X6d7_multi_CO21/7M_X6db/uid___A002_Xb8e115_X40ce_targets_line.ms/                 
N171                2016.1.00203        LMC0NT197                      7m       9 2016.1.00063.duval/B6_uid___A001_X879_X6d7_multi_CO21/7M_X6db/uid___A002_Xb8f857_X26a3_targets_line.ms/                 
N171                2016.1.00203        LMC0NT197                      7m      10 2016.1.00063.duval/B6_uid___A001_X879_X6d7_multi_CO21/7M_X6db/uid___A002_Xb8f857_X2fa1_targets_line.ms/                 
N171k               2016.1.00203        N171                           12m      1 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/TM_X8bf/uid___A002_Xbf4033_X9d8_targets_line.ms/                
N171k               2016.1.00203        N171                           7m       2 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/7M_X8c1/uid___A002_Xb9c01c_X3517_targets_line.ms/               
N171k               2016.1.00203        N171                           7m       3 2016.1.00203.kawamura/B6_uid___A001_X87c_X8bd_N171_CO21/7M_X8c1/uid___A002_Xb9dfa4_X34e7_targets_line.ms/               
N113                2015.1.01388.S      N113                           12m      1 2015.1.01388.sewilo/B6_uid___A001_X2df_X11c_N113_CO21/TM_N113_CO21_X11e/2015.1.01388.S_2022_06_17T14_26_48.287/uid___A00
N113                2015.1.01388.S      N113                           12m      2 2015.1.01388.sewilo/B6_uid___A001_X2df_X11c_N113_CO21/TM_N113_CO21_X11e/2015.1.01388.S_2022_06_17T14_26_48.287/uid___A00
N113                2015.1.01388.S      N113                           7m       3 2015.1.01388.sewilo/B6_uid___A001_X2df_X11c_N113_CO21/7M_N113_CO21_X120/2015.1.01388.S_2025_04_14T15_34_16.025/N113_X120
N127                2017.1.00681        LMC1N127                       12m      1 2017.1.00681.duval/B3_uid___A001_X12a3_X82c_lmc_CO21/TM_X82e/uid___A002_Xce574d_X363c_targets_line.ms/                  
N127                2017.1.00681        LMC1N127                       12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_lmc_CO21/TM_Xe1/uid___A002_Xb5f503_X3754_targets_line.ms/                     
N127                2017.1.00681        LMC1N127                       12m      3 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_lmc_CO21/TM_Xe1/uid___A002_Xb62a5b_X5a8b_targets_line.ms/                     
N127                2017.1.00681        LMC1N127                       12m      4 2015.1.00196.duval/B6_uid___A001_X33e_Xdd_lmc_CO21/TM_Xe1/uid___A002_Xb638bc_X4565_targets_line.ms/                     
N127                2017.1.00681        LMC1N127                       7m       5 2016.1.00063.duval/B6_uid___A001_X879_X6d7_lmc_CO21/7M_X6db/uid___A002_Xb8e115_X40ce_targets_line.ms/                   
N127                2017.1.00681        LMC1N127                       7m       6 2016.1.00063.duval/B6_uid___A001_X879_X6d7_lmc_CO21/7M_X6db/uid___A002_Xb8f857_X26a3_targets_line.ms/                   
N127                2017.1.00681        LMC1N127                       7m       7 2016.1.00063.duval/B6_uid___A001_X879_X6d7_lmc_CO21/7M_X6db/uid___A002_Xb8f857_X2fa1_targets_line.ms/                   
30Dor               2019.1.00843        33~36,44~48,55~59,67~71,79~82,90~94,102~105,113~117,125~128 12m      1 2019.1.00843.wong/B6/TM_b_X218a/uid___A002_Xe48598_Xafeb_target.ms/                                                     
30Dor               2019.1.00843        26~28,37~40,49~51,60~63,72~75,83~86,95~97,106~109,118~120 12m      2 2019.1.00843.wong/B6/TM_d_X219a/uid___A002_Xe407cf_X15ea_target.ms/                                                     
30Dor               2019.1.00843        15~16,21~22,27~29,34~35,41~42,47 7m       3 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe31981_Xf7ea_target.ms                                                      
30Dor               2019.1.00843        14~15,20~21,26~28,33~34,40~41,46 7m       4 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe32bed_Xdce2_target.ms                                                      
30Dor               2019.1.00843        15~16,21~22,27~29,34~35,41~42,47 7m       5 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe32bed_Xe889_target.ms                                                      
30Dor               2019.1.00843        14~15,20~21,26~28,33~34,40~41,46 7m       6 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe37224_X3836_target.ms                                                      
30Dor               2019.1.00843        14~15,20~21,26~28,33~34,40~41,46 7m       7 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe37224_X461a_target.ms                                                      
30Dor               2019.1.00843        14~15,20~21,26~28,33~34,40~41,46 7m       8 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe37224_Xdfe9_target.ms                                                      
30Dor               2019.1.00843        14~15,20~21,26~28,33~34,40~41,46 7m       9 2019.1.00843.wong/B6/7M_b_X218c/uid___A002_Xe37224_Xe70a_target.ms                                                      
30Dor               2019.1.00843        10~11,17,23~24,30~31,36~37     7m      10 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe2ada9_X18144_target.ms                                                     
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      11 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe2ada9_X187a8_target.ms                                                     
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      12 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe2ada9_X18ea1_target.ms                                                     
30Dor               2019.1.00843        10~11,17,23~24,30~31,36~37     7m      13 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe31981_X30e4_target.ms                                                      
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      14 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe31981_X3cee_target.ms                                                      
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      15 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe31981_X47c7_target.ms                                                      
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      16 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe31981_Xebf5_target.ms                                                      
30Dor               2019.1.00843        9~10,16,22~23,29~30,35~36      7m      17 2019.1.00843.wong/B6/7M_d_X219c/uid___A002_Xe32bed_X3f50_target.ms                                                      
N69                 2015.1.00196.S      SMC0N69                        12m      1 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbe0d4d_X2590_targets_line.ms/                    
N69                 2015.1.00196.S      SMC0N69                        12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbeb207_X2324_targets_line.ms/                    
N69                 2015.1.00196.S      SMC0N69                        7m       3 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb36550_X5718_targets_line.ms/                     
N69                 2015.1.00196.S      SMC0N69                        7m       4 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb48b38_X2df3_targets_line.ms/                     
N42                 2015.1.00196.S      SMC1N42                        12m      1 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbe0d4d_X2590_targets_line.ms/                    
N42                 2015.1.00196.S      SMC1N42                        12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbeb207_X2324_targets_line.ms/                    
N42                 2015.1.00196.S      SMC1N42                        7m       3 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb36550_X5718_targets_line.ms/                     
N42                 2015.1.00196.S      SMC1N42                        7m       4 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/7M_Xd7/uid___A002_Xb48b38_X2df3_targets_line.ms/                     
N66                 2015.1.00196.S      SMC2N66                        12m      1 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbe0d4d_X2590_targets_line.ms/                    
N66                 2015.1.00196.S      SMC2N66                        12m      2 2015.1.00196.duval/B6_uid___A001_X33e_Xd3_smc_CO21/TM_X6cf/uid___A002_Xbeb207_X2324_targets_line.ms/                    
